Store_ID,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
1,1626,2050,698.0,111178.0
2,1959,2387,2021.0,130633.0
3,1360,1760,1023.0,49302.0
4,1794,2253,1287.0,144404.0
5,1630,1919,1914.0,100349.0
6,1595,2290,1530.0,88768.0
7,2224,2903,1075.0,88863.0
8,1544,1750,785.0,108416.0
9,2138,2399,1498.0,153626.0
10,621,775,1297.0,106293.0
11,966,1525,1695.0,110182.0
12,1738,2301,2233.0,32791.0
13,830,1161,2032.0,143678.0
14,1982,2144,2463.0,74978.0
15,587,1075,564.0,127062.0
16,1896,2304,2223.0,99457.0
17,1623,1862,940.0,36535.0
18,1371,1770,757.0,99160.0
19,2187,2591,1507.0,135518.0
20,630,1367,419.0,55474.0
21,2185,2442,1364.0,35101.0
22,1832,2575,1453.0,69543.0
23,1269,2007,799.0,74202.0
24,843,1477,734.0,17770.0
25,2015,2422,804.0,104669.0
26,1937,2368,2575.0,46743.0
27,1305,1542,2285.0,45411.0
28,885,1238,1981.0,122312.0
29,1715,1880,1965.0,88625.0
30,1455,1755,1293.0,140646.0
31,776,1179,1464.0,77169.0
32,1684,2021,727.0,65048.0
33,959,1437,1560.0,95012.0
34,1837,2530,1212.0,64517.0
35,521,1067,1133.0,22868.0
36,752,1418,498.0,65581.0
37,1247,1855,2045.0,21410.0
38,1356,1835,482.0,22665.0
39,2084,2402,1232.0,85196.0
40,974,1489,1325.0,63321.0
41,1582,1909,1833.0,133895.0
42,1010,1521,620.0,70089.0
43,2205,2394,1013.0,35651.0
44,1999,2564,1347.0,34727.0
45,1199,1703,522.0,126087.0
46,1475,1879,366.0,90940.0
47,2306,2598,1102.0,76863.0
48,689,1415,2013.0,58844.0
49,1457,1617,727.0,50897.0
50,1186,1361,1537.0,36904.0
51,1457,2027,746.0,34667.0
52,1062,1432,1249.0,28780.0
53,2399,3044,2454.0,109932.0
54,2090,2476,956.0,150950.0
55,1767,2153,2142.0,146038.0
56,1331,1699,740.0,54480.0
57,2028,2664,1932.0,122649.0
58,1654,2264,2144.0,39441.0
59,2008,2301,2374.0,104279.0
60,2342,2680,2399.0,29720.0
61,1146,1550,582.0,111934.0
62,520,737,1769.0,126702.0
63,1340,1825,485.0,27477.0
64,666,1224,2035.0,61951.0
65,1797,2246,1067.0,119666.0
66,887,1393,2047.0,22975.0
67,1100,1505,716.0,32347.0
68,815,1317,1559.0,47260.0
69,513,1183,1115.0,147281.0
70,741,1414,2207.0,20545.0
71,1276,1709,426.0,152070.0
72,1869,2330,737.0,52676.0
73,1064,1312,2223.0,116652.0
74,1397,1743,1825.0,21864.0
75,1863,2494,2162.0,79010.0
76,591,966,1573.0,19580.0
77,1890,2404,1920.0,34688.0
78,1455,1972,362.0,72304.0
79,1978,2697,881.0,133058.0
80,1951,2690,2217.0,123619.0
81,1008,1232,414.0,17077.0
82,1275,1466,2289.0,24693.0
83,2466,3037,2429.0,144012.0
84,534,864,507.0,46830.0
85,705,1399,704.0,56953.0
86,1604,1824,1458.0,116944.0
87,2455,3172,2063.0,141310.0
88,2085,2339,2169.0,68003.0
89,2395,2744,1830.0,79716.0
90,1911,2161,2446.0,120834.0
91,1525,1981,1788.0,111488.0
92,1521,2256,2336.0,95446.0
93,1913,2439,726.0,110316.0
94,1065,1613,2164.0,68549.0
95,1629,1999,1128.0,145182.0
96,2295,3039,865.0,34284.0
97,2345,2676,2320.0,110765.0
98,2000,2456,984.0,35810.0
99,1202,1873,2103.0,89203.0
100,901,1446,2217.0,122705.0
101,1229,1382,837.0,50792.0
102,2079,2509,1694.0,103291.0
103,661,1025,2052.0,140692.0
104,701,1270,2087.0,153109.0
105,2481,2731,935.0,57577.0
106,1495,2165,733.0,138677.0
107,769,1491,2180.0,152197.0
108,2386,2844,2635.0,96483.0
109,1315,1974,454.0,76920.0
110,1794,2006,1164.0,65870.0
111,955,1330,1328.0,126310.0
112,1985,2239,643.0,110891.0
113,2250,2824,817.0,56593.0
114,1775,2179,1385.0,114449.0
115,1516,2094,898.0,46622.0
116,2225,2808,1291.0,88345.0
117,795,1151,1408.0,85481.0
118,2248,2425,2458.0,155232.0
119,1219,1704,1706.0,113272.0
120,2272,3009,2481.0,85363.0
121,837,1055,2060.0,25028.0
122,1378,2040,1360.0,111628.0
123,1576,1892,1863.0,72893.0
124,1291,1808,863.0,28527.0
125,2445,2845,1875.0,96692.0
126,716,1035,754.0,118936.0
127,1263,1502,1616.0,46755.0
128,687,1397,609.0,95066.0
129,879,1474,1122.0,35724.0
130,992,1435,802.0,155581.0
131,1564,1863,873.0,83021.0
132,1680,1961,1047.0,43828.0
133,514,1096,1013.0,146560.0
134,2336,2544,1809.0,116036.0
135,564,912,881.0,48465.0
136,2380,2744,1069.0,32282.0
137,2362,3072,1071.0,156566.0
138,1020,1641,1958.0,154757.0
139,1867,2263,2208.0,49228.0
140,1652,2183,1136.0,63905.0
141,1147,1535,1302.0,153817.0
142,1995,2511,1752.0,134936.0
143,1586,1903,1636.0,45141.0
144,1662,2371,2074.0,46324.0
145,2022,2222,1536.0,159563.0
146,1092,1621,2196.0,130421.0
147,891,1514,1146.0,21780.0
148,2198,2427,1904.0,35409.0
149,918,1434,1097.0,98590.0
150,788,1398,542.0,38733.0
151,878,1566,2091.0,26946.0
152,2296,2897,2328.0,121068.0
153,2013,2626,1107.0,111280.0
154,730,1357,888.0,104743.0
155,1517,2086,1985.0,122993.0
156,540,903,694.0,60550.0
157,1551,2069,1775.0,70814.0
158,634,897,846.0,56484.0
159,700,1352,731.0,51087.0
160,2363,3100,908.0,56230.0
161,1279,1739,945.0,43082.0
162,1429,2047,1595.0,152692.0
163,1556,1749,1651.0,113892.0
164,1571,2135,2037.0,102692.0
165,1002,1397,1997.0,54311.0
166,906,1139,1969.0,39524.0
167,2097,2453,1089.0,112805.0
168,2251,2551,1441.0,64530.0
169,1304,1981,2212.0,27175.0
170,598,912,1880.0,141721.0
171,1183,1477,1711.0,91304.0
172,2395,2581,1461.0,112378.0
173,1225,1707,574.0,58893.0
174,2070,2622,2126.0,117997.0
175,1460,2023,1611.0,91251.0
176,2262,2456,765.0,33887.0
177,1112,1663,1736.0,35588.0
178,2466,2821,1401.0,109218.0
179,1985,2196,1438.0,125478.0
180,1142,1711,1677.0,28669.0
181,2292,2909,1204.0,156255.0
182,1528,1696,2031.0,25202.0
183,1741,2255,2218.0,42405.0
184,1002,1451,2021.0,153511.0
185,1266,1422,1897.0,63038.0
186,897,1474,2235.0,84354.0
187,1370,1636,775.0,143769.0
188,1294,2023,2031.0,117520.0
189,892,1548,1410.0,72327.0
190,706,1401,1409.0,34372.0
191,1538,2012,1551.0,65379.0
192,2381,2585,2258.0,101005.0
193,2077,2268,1501.0,48135.0
194,1391,1837,936.0,114589.0
195,1984,2364,1039.0,156173.0
196,2214,2816,926.0,48768.0
197,2098,2641,2549.0,25573.0
198,1363,2034,505.0,88596.0
199,1242,1749,603.0,143874.0
200,1764,2357,2179.0,124773.0
201,1063,1340,969.0,76791.0
202,1520,2074,1330.0,111894.0
203,595,1136,556.0,26192.0
204,2423,2765,1681.0,54497.0
205,2257,2484,1454.0,67565.0
206,984,1218,1247.0,20396.0
207,1930,2109,1053.0,33941.0
208,730,928,2275.0,106110.0
209,1248,1542,328.0,50741.0
210,2178,2396,1059.0,75001.0
211,1694,1901,668.0,57272.0
212,1040,1763,1999.0,39622.0
213,1559,2187,987.0,39603.0
214,1024,1618,980.0,73148.0
215,1683,2128,1215.0,124608.0
216,2362,2682,2542.0,102469.0
217,2222,2946,1089.0,150745.0
218,1766,2062,1019.0,152443.0
219,1609,2242,1338.0,78932.0
220,2319,2774,1005.0,139677.0
221,1077,1672,1570.0,103193.0
222,1181,1551,1461.0,48950.0
223,1056,1760,731.0,70956.0
224,2097,2624,1590.0,156634.0
225,2476,2891,995.0,26401.0
226,1512,1756,893.0,54230.0
227,1145,1556,1886.0,129914.0
228,1295,1515,2016.0,37804.0
229,1551,1919,1366.0,40722.0
230,2143,2825,2107.0,45786.0
231,2079,2320,1320.0,106901.0
232,1863,2139,1744.0,142273.0
233,2321,2550,1709.0,119458.0
234,2481,2868,1712.0,50954.0
235,1854,2375,2112.0,157715.0
236,2163,2798,1449.0,121042.0
237,2029,2203,2070.0,109360.0
238,1871,2176,2543.0,65491.0
239,1996,2662,1946.0,98887.0
240,1754,2433,1112.0,110051.0
241,689,895,735.0,49780.0
242,1748,1916,1618.0,161078.0
243,1908,2441,1239.0,62492.0
244,1900,2242,1784.0,146418.0
245,1806,2192,1666.0,64966.0
246,2481,3017,1979.0,30456.0
247,1132,1707,779.0,120521.0
248,1127,1553,1570.0,66193.0
249,1472,1848,398.0,81785.0
250,2268,2969,2320.0,119722.0
251,1782,2254,2417.0,44005.0
252,1882,2184,2207.0,35387.0
253,1209,1595,1094.0,130835.0
254,1979,2183,2386.0,104727.0
255,1934,2519,1734.0,104817.0
256,1148,1406,1215.0,61192.0
257,817,1150,1540.0,92838.0
258,2200,2717,697.0,160476.0
259,1748,2095,2087.0,112695.0
260,2342,2862,2132.0,90237.0
261,1757,2279,1263.0,117124.0
262,1183,1829,367.0,151105.0
263,1163,1911,1778.0,45277.0
264,2498,2848,1848.0,108357.0
265,2350,3008,2542.0,56063.0
266,1897,2368,1478.0,25084.0
267,2195,2619,804.0,99007.0
268,2131,2491,2390.0,87873.0
269,1995,2648,1994.0,95458.0
270,1756,2023,969.0,149249.0
271,2215,2918,1784.0,120900.0
272,1636,1827,852.0,146383.0
273,2353,2817,2486.0,44647.0
274,2020,2498,1146.0,53363.0
275,941,1107,1896.0,95708.0
276,1063,1495,2208.0,26998.0
277,1791,2198,1555.0,156263.0
278,2033,2757,1440.0,53689.0
279,2330,3053,807.0,111697.0
280,1909,2077,1634.0,122540.0
281,1910,2588,2209.0,131424.0
282,1636,2208,1469.0,75448.0
283,2136,2751,1635.0,72167.0
284,2148,2670,1626.0,86021.0
285,1451,1681,1106.0,132918.0
286,1604,2304,1066.0,119393.0
287,1198,1895,2052.0,154918.0
288,612,1185,2046.0,150858.0
289,501,1079,1564.0,67797.0
290,1141,1678,1335.0,53714.0
291,719,1072,1353.0,36502.0
292,2089,2434,1783.0,146311.0
293,1354,1788,1978.0,127630.0
294,2259,2604,1910.0,91749.0
295,1748,2204,2023.0,97166.0
296,884,1047,2252.0,48318.0
297,1926,2221,1884.0,95296.0
298,2161,2367,1412.0,97995.0
299,1653,2012,2169.0,77801.0
300,1576,2254,1721.0,86371.0
301,2207,2700,2490.0,42519.0
302,1229,1657,1803.0,18959.0
303,2195,2553,1791.0,140508.0
304,2233,2717,2362.0,35857.0
305,1939,2376,1356.0,148896.0
306,746,1147,405.0,45802.0
307,1335,1749,423.0,52189.0
308,1962,2382,782.0,51562.0
309,702,1270,524.0,94932.0
310,1707,2067,1280.0,135515.0
311,622,1136,2101.0,99984.0
312,900,1125,1381.0,42271.0
313,1266,1736,1706.0,94772.0
314,793,1375,1964.0,113844.0
315,779,1037,1652.0,37953.0
316,2360,3031,1715.0,121278.0
317,1383,1579,320.0,49094.0
318,2133,2661,650.0,141295.0
319,697,942,2169.0,34445.0
320,1481,1733,1066.0,60650.0
321,2430,2725,2303.0,128376.0
322,2034,2210,2599.0,126717.0
323,1251,1930,1557.0,44660.0
324,643,874,1275.0,114023.0
325,1108,1685,1074.0,74870.0
326,1724,2457,2219.0,34720.0
327,1647,2275,1157.0,55653.0
328,686,997,2011.0,104380.0
329,1849,2400,2078.0,136462.0
330,963,1620,1351.0,130024.0
331,1872,2059,644.0,86053.0
332,2294,2954,2025.0,139846.0
333,1159,1701,1013.0,151838.0
334,1263,1906,431.0,131732.0
335,1454,1803,1323.0,129315.0
336,2455,2859,912.0,37993.0
337,902,1230,741.0,96129.0
338,1869,2565,904.0,106884.0
339,2486,3229,2121.0,146354.0
340,2034,2572,851.0,115332.0
341,646,1193,1421.0,100544.0
342,1671,1978,1421.0,62703.0
343,1363,1516,985.0,80657.0
344,2234,2550,1884.0,119200.0
345,2343,2960,1008.0,99111.0
346,988,1546,1277.0,123777.0
347,1428,1989,666.0,71794.0
348,2459,2812,664.0,132144.0
349,2163,2506,1615.0,136708.0
350,1050,1434,1763.0,30319.0
351,837,1136,1697.0,79819.0
